# R/Å F/kT U/kT
16.00 461.44 451.48
17.00 45.53 36.23
18.00 3.07 -6.82
19.00 1.49 -5.23
20.00 0.67 -4.01
21.00 0.10 -3.41
22.00 -0.17 -2.76
23.00 -0.41 -2.34
24.00 -0.55 -1.94
25.00 -0.59 -1.56
26.00 -0.53 -1.19
27.00 -0.45 -0.90
28.00 -0.38 -0.66
29.00 -0.28 -0.45
30.00 -0.19 -0.29
31.00 -0.13 -0.18
32.00 -0.08 -0.11
33.00 -0.04 -0.06
34.00 -0.02 -0.03
35.00 -0.00 -0.01
36.00 0.01 0.00
37.00 0.01 0.01
38.00 0.01 0.01
39.00 0.01 0.01
40.00 0.01 0.01
41.00 0.01 0.01
42.00 0.01 0.01
43.00 0.01 0.01
44.00 0.01 0.01
45.00 0.01 0.01
46.00 0.01 0.01
47.00 0.01 0.00
48.00 0.00 0.00
49.00 0.00 0.00
50.00 0.00 0.00
51.00 0.00 0.00
52.00 0.00 0.00
53.00 0.00 0.00
54.00 0.00 0.00
