# Multipolar energies (kT/lB)
#        R     exact       tot        ii        id        dd        iq    mucorr
   19.5000    0.0259    0.0707    0.1286   -0.1230    0.0012    0.0638   -0.3145
   19.7500    0.0830   -0.0594    0.1007   -0.1253   -0.0695    0.0346   -0.5726
   20.0000    0.0227    0.0160    0.0624   -0.0839    0.0313    0.0062    0.2520
   20.2500   -0.0058   -0.0283    0.0591   -0.0581   -0.0435    0.0142   -0.1854
   20.5000   -0.0267   -0.0278    0.0650   -0.0653   -0.0484    0.0209   -0.2144
   20.7500    0.0557    0.0053    0.0962   -0.0453   -0.0463    0.0007    0.1484
   21.0000    0.0155    0.0131    0.0596   -0.0489   -0.0086    0.0110   -0.3682
   21.2500    0.1296    0.0822    0.1013   -0.0078   -0.0246    0.0133   -0.0207
   21.5000    0.1007    0.0777    0.1065   -0.0178   -0.0237    0.0127    0.2040
   21.7500    0.0337    0.0182    0.0679   -0.0105   -0.0458    0.0066   -0.0148
   22.0000    0.0344    0.0076    0.0516   -0.0107   -0.0435    0.0102    0.0070
   22.2500    0.0361   -0.0010    0.0634   -0.0193   -0.0521    0.0070    0.1009
   22.5000    0.0292    0.0374    0.0503    0.0042   -0.0211    0.0039   -0.1282
   22.7500    0.0104    0.0064    0.0642   -0.0071   -0.0484   -0.0023   -0.1118
   23.0000    0.0233    0.0042    0.0607   -0.0111   -0.0488    0.0035    0.0653
   23.2500    0.0191    0.0111    0.0514   -0.0129   -0.0281    0.0006    0.1124
   23.5000   -0.0015   -0.0036    0.0495   -0.0152   -0.0373   -0.0006    0.0935
   23.7500    0.0195    0.0191    0.0522   -0.0071   -0.0265    0.0006   -0.1389
   24.0000    0.0507    0.0526    0.0736   -0.0114   -0.0111    0.0016    0.0066
   24.2500    0.0322    0.0334    0.0631   -0.0096   -0.0232    0.0031   -0.0098
   24.5000    0.0532    0.0565    0.0562    0.0089   -0.0047   -0.0040   -0.0425
   24.7500    0.0510    0.0591    0.0664    0.0044   -0.0107   -0.0009    0.0166
   25.0000    0.0383    0.0359    0.0552   -0.0063   -0.0110   -0.0020   -0.1082
   25.2500    0.0423    0.0351    0.0497    0.0016   -0.0133   -0.0029    0.0365
   25.5000    0.0389    0.0460    0.0615   -0.0052   -0.0092   -0.0011    0.0380
   25.7500    0.0335    0.0388    0.0521   -0.0049   -0.0062   -0.0023   -0.0125
   26.0000    0.0396    0.0444    0.0587   -0.0071   -0.0057   -0.0015    0.0265
   26.2500    0.0456    0.0492    0.0654   -0.0054   -0.0062   -0.0046   -0.1305
   26.5000    0.0179    0.0224    0.0489   -0.0094   -0.0138   -0.0032    0.0294
   26.7500    0.0321    0.0342    0.0512    0.0007   -0.0130   -0.0047    0.0051
   27.0000    0.0224    0.0277    0.0487   -0.0069   -0.0129   -0.0012    0.1461
   27.2500    0.0330    0.0430    0.0565   -0.0011   -0.0104   -0.0020    0.0558
   27.5000    0.0280    0.0404    0.0500   -0.0017   -0.0067   -0.0011    0.0461
   27.7500    0.0183    0.0284    0.0532   -0.0126   -0.0093   -0.0028    0.0246
   28.0000    0.0402    0.0451    0.0546    0.0005   -0.0108    0.0008   -0.0775
   28.2500    0.0327    0.0358    0.0588   -0.0063   -0.0137   -0.0031    0.0710
   28.5000    0.0285    0.0385    0.0514   -0.0032   -0.0102    0.0004    0.1033
   28.7500    0.0157    0.0277    0.0478   -0.0049   -0.0133   -0.0019    0.0416
   29.0000    0.0425    0.0497    0.0596    0.0006   -0.0087   -0.0018    0.1114
   29.2500    0.0240    0.0320    0.0515   -0.0070   -0.0122   -0.0003    0.0623
   29.5000    0.0383    0.0481    0.0580    0.0012   -0.0115    0.0005    0.1360
   29.7500    0.0506    0.0490    0.0488    0.0072   -0.0061   -0.0009   -0.1098
   30.0000    0.0276    0.0278    0.0438   -0.0035   -0.0131    0.0007    0.0626
   30.2500    0.0312    0.0314    0.0374    0.0032   -0.0098    0.0005   -0.0217
   30.5000    0.0271    0.0329    0.0422   -0.0005   -0.0095    0.0008   -0.0960
   30.7500    0.0266    0.0346    0.0478   -0.0020   -0.0120    0.0008    0.0363
   31.0000    0.0501    0.0479    0.0452    0.0080   -0.0055    0.0003   -0.1007
   31.2500    0.0402    0.0445    0.0502    0.0041   -0.0091   -0.0007   -0.0042
   31.5000    0.0310    0.0309    0.0458   -0.0071   -0.0065   -0.0013   -0.0843
   31.7500    0.0303    0.0332    0.0464   -0.0046   -0.0071   -0.0016   -0.0487
   32.0000    0.0444    0.0418    0.0487    0.0019   -0.0091    0.0003    0.0392
   32.2500    0.0509    0.0534    0.0498    0.0045   -0.0015    0.0005   -0.0695
   32.5000    0.0358    0.0377    0.0505   -0.0010   -0.0108   -0.0011    0.0695
   32.7500    0.0407    0.0423    0.0485    0.0014   -0.0077    0.0001   -0.0175
   33.0000    0.0466    0.0448    0.0511    0.0006   -0.0069   -0.0000   -0.0600
   33.2500    0.0405    0.0415    0.0443    0.0007   -0.0032   -0.0004   -0.0311
   33.5000    0.0352    0.0350    0.0443   -0.0028   -0.0065    0.0001    0.0423
   33.7500    0.0346    0.0350    0.0390    0.0059   -0.0109    0.0011   -0.0012
   34.0000    0.0385    0.0405    0.0414    0.0019   -0.0033    0.0004    0.0103
   34.2500    0.0413    0.0414    0.0442    0.0019   -0.0038   -0.0009    0.0221
   34.5000    0.0294    0.0308    0.0398   -0.0058   -0.0027   -0.0005    0.0150
   34.7500    0.0364    0.0373    0.0361    0.0063   -0.0052    0.0002    0.0696
   35.0000    0.0424    0.0429    0.0453    0.0002   -0.0031    0.0004    0.0092
   35.2500    0.0485    0.0463    0.0435    0.0046   -0.0012   -0.0006    0.0594
   35.5000    0.0391    0.0411    0.0410    0.0028   -0.0039    0.0012   -0.0979
   35.7500    0.0475    0.0470    0.0375    0.0062    0.0016    0.0017   -0.0372
   36.0000    0.0615    0.0630    0.0518    0.0053    0.0029    0.0030   -0.0249
   36.2500    0.0438    0.0451    0.0391    0.0041    0.0020   -0.0001    0.0702
   36.5000    0.0512    0.0529    0.0459    0.0093   -0.0032    0.0010   -0.0423
   36.7500    0.0415    0.0422    0.0429    0.0031   -0.0052    0.0014   -0.0679
   37.0000    0.0511    0.0507    0.0443    0.0068    0.0001   -0.0004   -0.0488
   37.2500    0.0450    0.0477    0.0394    0.0083   -0.0017    0.0017   -0.0187
   37.5000    0.0383    0.0395    0.0396    0.0010   -0.0016    0.0005    0.0673
   37.7500    0.0405    0.0423    0.0405    0.0038   -0.0022    0.0001   -0.0681
   38.0000    0.0365    0.0376    0.0355    0.0033   -0.0008   -0.0004    0.0004
   38.2500    0.0338    0.0353    0.0337    0.0028   -0.0010   -0.0002   -0.0433
   38.5000    0.0389    0.0409    0.0418    0.0037   -0.0042   -0.0004   -0.0552
   38.7500    0.0353    0.0386    0.0373    0.0040   -0.0027    0.0001   -0.0423
   39.0000    0.0256    0.0282    0.0333   -0.0011   -0.0037   -0.0003   -0.0256
   39.2500    0.0377    0.0390    0.0383    0.0034   -0.0031    0.0003   -0.0730
   39.5000    0.0370    0.0396    0.0377    0.0048   -0.0020   -0.0008    0.0281
   39.7500    0.0369    0.0405    0.0368    0.0064   -0.0024   -0.0003    0.0102
   40.0000    0.0237    0.0256    0.0316   -0.0032   -0.0024   -0.0004   -0.0513
   40.2500    0.0280    0.0317    0.0371   -0.0016   -0.0036   -0.0002   -0.1238
   40.5000    0.0297    0.0329    0.0395   -0.0026   -0.0040    0.0000    0.0578
   40.7500    0.0300    0.0332    0.0371   -0.0009   -0.0025   -0.0006    0.0716
   41.0000    0.0377    0.0382    0.0411   -0.0028   -0.0006    0.0005   -0.0641
   41.2500    0.0365    0.0379    0.0399   -0.0022    0.0004   -0.0002    0.0128
   41.5000    0.0346    0.0387    0.0418   -0.0007   -0.0022   -0.0002    0.0075
   41.7500    0.0381    0.0396    0.0424   -0.0027   -0.0006    0.0004    0.0164
   42.0000    0.0375    0.0415    0.0413    0.0026   -0.0022   -0.0003   -0.0544
   42.2500    0.0287    0.0327    0.0330    0.0032   -0.0038    0.0003   -0.0375
   42.5000    0.0306    0.0345    0.0331    0.0035   -0.0021    0.0001   -0.0639
   42.7500    0.0345    0.0352    0.0343   -0.0013    0.0015    0.0006    0.0331
   43.0000    0.0358    0.0362    0.0403   -0.0044    0.0005   -0.0002   -0.0185
   43.2500    0.0314    0.0343    0.0334    0.0018   -0.0007   -0.0002    0.1162
   43.5000    0.0370    0.0399    0.0337    0.0045    0.0020   -0.0003    0.1857
   43.7500    0.0313    0.0344    0.0351   -0.0011   -0.0001    0.0004    0.1003
   44.0000    0.0348    0.0372    0.0345    0.0019    0.0006    0.0002    0.1493
   44.2500    0.0244    0.0276    0.0318   -0.0020   -0.0022    0.0001    0.0742
   44.5000    0.0292    0.0327    0.0345    0.0000   -0.0018    0.0000    0.0601
   44.7500    0.0330    0.0355    0.0380   -0.0021   -0.0005    0.0001    0.0711
   45.0000    0.0321    0.0363    0.0336    0.0035   -0.0004   -0.0004    0.1079
   45.2500    0.0273    0.0267    0.0274   -0.0017    0.0008    0.0001    0.0523
   45.5000    0.0332    0.0371    0.0399   -0.0024   -0.0005    0.0001    0.1894
   45.7500    0.0206    0.0258    0.0295   -0.0015   -0.0024    0.0003    0.2089
   46.0000    0.0261    0.0293    0.0314   -0.0010   -0.0009   -0.0002    0.1137
   46.2500    0.0224    0.0288    0.0279    0.0027   -0.0013   -0.0004    0.0673
   46.5000    0.0259    0.0290    0.0314   -0.0015   -0.0009    0.0000    0.0484
